"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000187488",2.07423126628668,0.608194986657404,0.684634113057948,0.888350397763376,0.374352298049327,0.450854811274667
"ENSG00000215792",2.07423126628668,0.608194986657404,0.684634113057948,0.888350397763376,0.374352298049327,0.450854811274667
"ENSG00000169962",0.102074927350703,0.081886702589021,2.70013972826126,0.0303268389157592,0.975806392054053,NA
"ENSG00000107404",5.72361061568982,0.797361855874783,0.402227609616976,1.98236480244128,0.0474384259987917,0.0748382226574225
"ENSG00000162576",6.76307832402425,1.98602581700856,0.495417025969655,4.008796050401,6.10290949500541e-05,0.000147403606382098
"ENSG00000116148",3.6204276367928,0.673884198454843,0.525957678071449,1.28125175570362,0.200105252471253,0.265588773066109
"ENSG00000131586",1.06880700308317,2.59695781192756,1.01646525674011,2.55489087768353,0.0106221092406068,0.0190963428183833
"ENSG00000205116",0.682780681587003,2.51815253038645,1.20847505798511,2.08374390000648,0.0371834687118291,0.0602648780484019
"ENSG00000179403",11.7995337831489,-0.824938826184924,0.300251898173797,-2.74748912896937,0.00600534996851193,0.0112609410924702
"ENSG00000215915",0.461495845177771,-2.70756718348919,1.43316479240387,-1.88922250800464,0.0588620199829247,0.090487167607252
"ENSG00000160072",3.81494465698106,-0.915929559629888,0.480099384267451,-1.90779157325402,0.0564181603440003,0.0872788940521684
"ENSG00000197785",22.3092532360439,-0.877821114263944,0.20947712072075,-4.19053456169159,2.78298017740217e-05,6.99475277732112e-05
"ENSG00000205090",0.305198852095874,1.40240183974397,1.78875765569186,0.78400885401189,0.433034915040741,0.508853029675676
"ENSG00000160075",99.1834056996842,-0.342869945324131,0.0949809041754253,-3.60988293700453,0.00030633522387924,0.000681381152179993
"ENSG00000215791",3.1542824535586,-0.47188610474685,0.521253922416481,-0.905290271120135,0.365311629155899,0.442204296012657
"ENSG00000197530",41.4395231342607,-0.0940218473634458,0.201791796430226,-0.465934934059402,0.641262074767729,0.700340578655613
"ENSG00000189409",0.315949798163774,-0.742512795714647,1.58571954001252,-0.468249761057233,0.639605990740076,0.699254651747088
"ENSG00000189229",16.1153054018744,-0.11227123444065,0.238636576949064,-0.47046951425478,0.638019609821571,0.698525361920715
"ENSG00000189339",32.1179579510762,0.596976123675334,0.184744430077169,3.23136196001131,0.00123201816369393,0.00253954976580215
"ENSG00000008128",57.6764103484425,-0.853943027840937,0.126791062847014,-6.73504116667361,1.63883528438053e-11,6.37805832688471e-11
"ENSG00000215790",2.02980294959102,0.796750579572767,0.751416770037362,1.06033111229757,0.288993989777252,0.366153728243579
"ENSG00000008130",136.276439841059,-1.75441298460756,0.0971791258834993,-18.0533933461266,7.41893942438411e-73,1.24751079233937e-71
"ENSG00000078369",517.667995904842,0.618561528075599,0.0474007998271959,13.0496010685605,6.38810222829487e-39,6.29451856507781e-38
"ENSG00000169885",2.63848491011717,-4.34955565588469,0.89511160963381,-4.85923275831948,1.17841528610829e-06,3.36038423522492e-06
"ENSG00000178821",4.74614833963029,-1.93433752502896,0.473089534752065,-4.08873454798086,4.33732847931281e-05,0.000107100513288059
"ENSG00000205073",4.36655459249614,-5.94612909890537,0.880239990130944,-6.75512265469877,1.4271447198985e-11,5.57523454970451e-11
"ENSG00000067606",45.8635682746593,0.489296135698122,0.157538555523998,3.10588182093359,0.00189712519249011,0.00381645341064006
"ENSG00000205069",0.339839509207369,-0.33031613519748,1.47935276657136,-0.223284224467326,0.823314304406927,0.856246876583204
"ENSG00000182873",3.06628675042395,0.345035733820733,0.548017212677768,0.629607475529446,0.528951431378578,0.600219696835945
"ENSG00000162585",38.7733251495261,0.0272753596715957,0.164904987447513,0.165400453277843,0.86862879692516,0.892300031383718
"ENSG00000186423",4.1951111268167,-0.250694182387835,0.45187979322594,-0.554780687576547,0.579044678297256,0.645608733207823
"ENSG00000183472",0.790962819827221,-2.97249556039365,1.11476667440992,-2.66647328865216,0.00766516973805803,0.0141166876009235
"ENSG00000157933",45.6793382625992,0.197998659506032,0.140854376645906,1.40569760216809,0.15981393929562,0.217633947262609
"ENSG00000116151",5.14305407045721,1.60383394911832,0.489390230757468,3.27720875554858,0.00104838826129875,0.00217991483901769
"ENSG00000178642",4.42970923940533,1.03889131755326,0.478455967895742,2.17134153874665,0.0299053645319108,0.0495858509441222
"ENSG00000157916",346.772506152582,-0.75719304906033,0.0602958847418888,-12.5579556930241,3.59501608727526e-36,3.38084491611843e-35
"ENSG00000157911",116.044833802563,-0.740900850803431,0.103304657148741,-7.17199854539628,7.39107277260419e-13,3.10284656152475e-12
"ENSG00000149527",9.96098021676983,0.567730729197266,0.318228185750034,1.78403659581309,0.0744177187840973,0.111392560192548
"ENSG00000157881",30.6343261123062,0.347152615072458,0.172453376068524,2.01302301518596,0.0441122081736864,0.070135237456005
"ENSG00000197921",0.670284894868709,-2.15760261407555,1.39774867780308,-1.54362701130705,0.122678717473468,0.172530887210414
"ENSG00000205049",0.523980533728598,-1.13265731309936,1.28226402900301,-0.8833261227643,0.37706009365431,0.45323384994811
"ENSG00000157873",79.1567854336932,0.045178245083256,0.123160476656842,0.366824214306467,0.713750144438186,0.764080242857239
"ENSG00000157870",34.2340372737734,1.22339510894686,0.193902138897893,6.30934303200795,2.80222407273749e-10,1.01523200012293e-09
"ENSG00000142606",5.0370374256,0.940776916276825,0.452736993171821,2.07797668506356,0.0377115066046441,0.0609291913497488
"ENSG00000177133",64.0463152576532,5.84617379360256,0.429334539015135,13.6168261864356,3.18093838293866e-42,3.33621130739397e-41
"ENSG00000177121",32.2213685929859,6.4493543760662,0.730946953415047,8.82328648602236,1.11148510333404e-18,6.03321913985178e-18
"ENSG00000142611",19.1019529612179,3.80737113172329,0.413558725238407,9.20636151378122,3.37366774892309e-20,1.92941368117709e-19
